age, income, credit_score, loan_amount, loan_term, employment_years, debt_to_income     , existing_loans, savings_balance, will_default, suggested_interest_rate
 56, 47804 ,          395,       63001,        36,               12, 0.6529808979559281 ,              4,            7571,            1,     13.804920594311698
 69, 59949 ,          467,       63397,        60,                0, 0.44929262661760105,              0,            2178,            1,     15.949456861805462
 46, 42292 ,          341,       66415,        24,               10, 0.16710877229575288,              1,           10194,            1,     21.835375931227794
 32, 58409 ,          403,       21960,        48,                3, 0.36695478262709647,              1,            1408,            1,     19.869049894056097
 60, 32712 ,          503,       98143,        12,                0, 0.7524713719820552 ,              4,            1609,            1,     21.49839213963657
 25, 47181 ,          819,       86838,        60,                3, 0.2607287895638003 ,              0,            3978,            1,     22.513966200266808
 38, 56330 ,          581,       50778,        60,                8, 0.3238281149389086 ,              1,            5140,            1,     23.640107537101894
 56, 53793 ,          342,       35941,        12,                6, 0.6227790228241497 ,              0,            6902,            1,     15.959345200266108
 36, 17890 ,          409,       45955,        12,                3, 0.6135065522201567 ,              3,            8691,            1,     18.16596708375436
 40, 41219 ,          509,       83565,        36,                9, 0.7385416016174527 ,              2,            6326,            1,     20.948031867178777
 28, 83549 ,          348,       61908,        60,                0, 0.3716830835042628 ,              2,             467,            1,     22.33169362951199
 28, 40151 ,          414,       69067,        60,               12, 0.46021910671200383,              2,            4207,            1,     19.511617930608335
 41, 50316 ,          454,       60696,        24,                9, 0.42717472285433433,              1,             633,            1,     18.678726313436485
 53, 48264 ,          802,       23429,        24,                6, 0.7494265197157172 ,              4,            1256,            1,     20.992926092604833
 57, 81364 ,          370,       99048,        60,                8, 0.6385314121772444 ,              2,             974,            1,     16.96637688213925
 41, 75807 ,          818,       81676,        24,                3, 0.6820092458836938 ,              4,            1720,            1,     23.618155850152824
 20, 66150 ,          635,       19847,        60,                5, 0.19316878818058764,              2,           16762,            1,     14.758846161759068
 39, 30535 ,          366,       52191,        48,                4, 0.654292685007712  ,              3,            9877,            1,     23.49205472984162
 19, 57183 ,          792,       39256,        36,                2, 0.4030851362402479 ,              2,            7068,            1,     20.36701709704987
 41, 61358 ,          512,       33774,        24,                4, 0.11633707798145299,              4,           13177,            1,     19.808559906307327
 61, 36027 ,          480,       14127,        60,                1, 0.14206184692029925,              1,           32499,            1,     18.109413224832913
 47, 32589 ,          547,       33205,        24,                2, 0.5745355578143913 ,              3,            5407,            1,     14.011698555022441
 55, 84100 ,          513,       86163,        36,                1, 0.3604087088021789 ,              4,            4579,            1,     23.244143824813662
 19, 43983 ,          658,       63764,        48,                0, 0.7076809012564363 ,              0,           38064,            1,     12.682941459196206
 38, 82299 ,          548,       43664,        12,                1, 0.6139911937131065 ,              2,           14754,            1,     15.509553670319635
 50, 69941 ,          815,       61795,        12,                9, 0.11517600816687323,              3,           15010,            1,     13.426187710627659
 29, 58157 ,          387,       37333,        24,                2, 0.5808218182852014 ,              1,            9161,            1,     13.388859054714864
 39, 59050 ,          475,       41079,        60,                6, 0.23464673091264937,              0,            7072,            1,     17.07549594763153
 61, 21991 ,          725,       89225,        36,                0, 0.39580779809273847,              2,            7998,            1,     14.085534015222562
 42, 54135 ,          380,       29259,        48,                2, 0.537314641486074  ,              3,           10557,            1,     19.558015218711915
 66, 78340 ,          437,       31571,        48,                0, 0.710902488906985  ,              4,            4729,            1,     20.15306621531703
 44, 63626 ,          732,       56119,        48,                0, 0.4192685218743575 ,              2,           15246,            1,     23.467218456422575
 59, 53086 ,          769,       13009,        12,                4, 0.6659433179337941 ,              3,           23993,            1,     15.895683045020187
 45, 84238 ,          649,       66829,        36,                4, 0.648075963960443  ,              2,            8469,            1,     16.01931898425571
 33, 46299 ,          425,       43230,        12,                1, 0.3901769589958809 ,              3,            4804,            1,     15.202793422668769
 32, 37608 ,          608,       61049,        24,                3, 0.4506861144030321 ,              4,           11893,            1,     22.16353431537035
 64, 53076 ,          529,       41498,        48,                9, 0.5903395070348693 ,              2,            2010,            1,     17.56478104242526
 68, 65329 ,          759,       33820,        36,                0, 0.12180390425285781,              3,           34600,            1,     19.181486173582403
 61, 15644 ,          644,       45315,        48,                0, 0.7235679896594722 ,              0,           10729,            1,     16.87002764656052
 69, 55697 ,          609,       37795,        12,                5, 0.6388713116063854 ,              1,             699,            1,     14.03856808315278
 20, 66206 ,          319,       90411,        12,                0, 0.2745911169816313 ,              3,            7544,            1,     13.332886214673511
 54, 44607 ,          840,       44191,        12,               19, 0.7868259672322829 ,              3,           13876,            1,     23.287555062202916
 68, 72139 ,          776,       59453,        48,                4, 0.22557324681273316,              3,            3255,            1,     15.451261861553345
 24, 62823 ,          568,       17453,        36,                3, 0.7398606715930813 ,              2,             523,            1,     24.241058902163736
 38, 92827 ,          302,       55325,        36,                2, 0.32713142082617785,              1,            6717,            1,     24.314814736639388
 26, 34987 ,          315,       54490,        24,                4, 0.6342026971148951 ,              2,           17935,            1,     18.225980243248458
 56, 66614 ,          657,       79796,        48,                0, 0.4194636152735616 ,              3,            2897,            1,     24.46164694495812
 35, 29653 ,          432,       54993,        24,               13, 0.6155271712150016 ,              3,           12623,            1,     12.370333812642038
 21, 17692 ,          611,       50706,        24,                4, 0.20904813355755641,              1,            5238,            1,     13.191457536690354
 42, 9289  ,          781,       47817,        24,                1, 0.288654520870538  ,              0,             614,            1,     15.163025839326767
 31, 60766 ,          843,       69544,        24,                4, 0.16990047713041795,              2,            3623,            1,     14.719514221372043
 67, 53684 ,          604,       96434,        12,                0, 0.7056007870064622 ,              0,            3767,            1,     15.284291988117701
 26, 40418 ,          568,       60710,        24,                0, 0.3074050914386496 ,              3,           23503,            1,     17.8798262957106
 43, 14529 ,          713,       55799,        36,                4, 0.5861333605916644 ,              3,           40034,            1,     12.817977593301503
 19, 36192 ,          324,       65964,        24,                5, 0.6741548384190698 ,              4,            2354,            1,     19.220047688078527
 37, 50081 ,          615,       58678,        12,                4, 0.7309927654655421 ,              4,            5630,            1,     16.022904926004426
 45, 65863 ,          575,       76150,        60,                1, 0.1744079807182025 ,              0,           37594,            1,     12.930117917886115
 64, 49669 ,          688,       65438,        60,                4, 0.7251104534588289 ,              4,            5230,            1,     21.791720495774626
 24, 55041 ,          743,       82223,        60,                0, 0.23807694441150365,              1,            4295,            1,     20.494587000407698
 61, 42477 ,          726,       66926,        48,                4, 0.6158314081136731 ,              0,            1164,            1,     22.31459084456315
 25, 84984 ,          356,        8801,        36,                4, 0.6101943135552279 ,              4,           13995,            1,     24.21004145850383
 64, 29635 ,          667,       46048,        12,                5, 0.10595219921866797,              4,            5924,            1,     19.61494817007707
 52, 36015 ,          641,       45144,        60,               11, 0.25443673581717796,              1,           10179,            1,     22.227308030593797
 31, 40152 ,          603,       99478,        12,                9, 0.4443359602654071 ,              1,            7130,            1,     14.589375208925231
 34, 60854 ,          673,       15148,        12,               19, 0.39402429466429756,              0,            1918,            1,     17.334770425076826
 53, 29222 ,          411,       87819,        48,               18, 0.7430014359192267 ,              2,            1940,            1,     18.89092283744298
 67, 52714 ,          305,       24861,        60,                7, 0.3518186086517663 ,              1,           28093,            1,     19.035779478052763
 57, 53298 ,          578,       66717,        24,               15, 0.7558886003851737 ,              4,           22029,            1,     21.338385074813317
 21, 36112 ,          681,       27480,        12,               10, 0.4216005228747718 ,              0,            9432,            1,     22.347233333867614
 19, 56599 ,          312,       23637,        60,                6, 0.7750470276481161 ,              2,              12,            1,     20.66908804832221
 23, 29843 ,          602,       49621,        12,                0, 0.6161483670174028 ,              0,            5679,            1,     12.614191361532445
 59, 27658 ,          459,       65304,        48,                0, 0.6805342141425091 ,              4,            7559,            1,     16.565817907578154
 21, 51992 ,          453,       52431,        48,                9, 0.1734138218443007 ,              2,            5968,            1,     19.441707265819268
 46, 16804 ,          480,       93921,        24,                3, 0.5102990032696575 ,              2,           25962,            1,     18.60230298074254
 35, 7103  ,          825,       61172,        48,                8, 0.1998902518805456 ,              1,             417,            1,     12.582360577700618
 43, 60656 ,          479,       30437,        60,                1, 0.30833470143568187,              3,           10640,            1,     24.748275397687436
 61, 70979 ,          676,       13149,        48,                2, 0.5364957843170877 ,              4,            3766,            1,     24.42937185412846
 51, 40663 ,          467,       19671,        24,                6, 0.6083579932857236 ,              3,            8197,            1,     22.05890330320411
 27, 36638 ,          513,       28119,        36,               12, 0.1274286474078756 ,              4,           10668,            1,     12.719592115166279
 53, 70110 ,          449,       51117,        12,                0, 0.4716606117506553 ,              0,            5812,            1,     17.592701861596975
 31, 27089 ,          315,       21279,        12,                9, 0.49571979040292047,              3,            1606,            1,     17.327004185994916
 48, 22732 ,          390,       73835,        60,                7, 0.15517959797714082,              2,            7319,            1,     19.25433822262215
 65, 64152 ,          419,        9803,        24,                1, 0.4504816239405346 ,              1,           27024,            1,     12.727069952255468
 32, 50180 ,          552,       87897,        24,                2, 0.5996895960348786 ,              4,            7676,            1,     17.507536397978903
 25, 71297 ,          359,       65805,        24,                0, 0.13725909941287168,              1,            1311,            1,     21.851911120969376
 31, 7194  ,          565,       23201,        12,                0, 0.6321874434267735 ,              4,           17381,            1,     24.974103344377347
 40, 21986 ,          708,       33634,        48,                3, 0.5034985534328958 ,              2,            2507,            1,     19.740761783910393
 57, 50286 ,          330,       19760,        12,                0, 0.6832590457902536 ,              2,            4623,            1,     24.22796004609408
 38, 58353 ,          320,       15826,        12,                1, 0.252643800997849  ,              2,            5599,            1,     24.98100025542186
 33, 66939 ,          588,       91821,        12,                9, 0.6832915789491829 ,              2,            4150,            1,     17.65216506291697
 62, 53496 ,          842,       50775,        48,                4, 0.1661926826872276 ,              2,            5182,            1,     20.692975608807057
 35, 53293 ,          797,       79676,        36,                5, 0.38268078751127   ,              1,           15870,            1,     14.77179658079313
 64, 42211 ,          773,       11798,        60,                1, 0.23963935406725395,              0,            2527,            1,     18.18340376890124
 41, 81818 ,          704,       71103,        36,                8, 0.7132145826036119 ,              3,            6356,            1,     13.019350059047968
 43, 27939 ,          847,       82160,        36,               10, 0.5934438714112417 ,              1,             202,            1,     12.378947120583428
 42, 57180 ,          431,       82751,        12,                3, 0.11775324401250974,              3,            7085,            1,     23.60795135506082
 62, 30243 ,          623,       78502,        36,               12, 0.10666634892976928,              0,            1184,            1,     23.15920431111946
 58, 60695 ,          431,       56410,        12,                9, 0.30387447813716884,              4,            3316,            1,     16.056840557351105
 46, 29259 ,          820,       45888,        12,                6, 0.2002981799963958 ,              0,            3928,            1,     17.94038956823087
 32, 64876 ,          329,       54047,        60,                6, 0.5412131342921371 ,              0,             859,            1,     18.416933953718782
 62, 52242 ,          600,       50955,        24,                0, 0.5646578537177919 ,              4,            4471,            1,     18.7691146016886
 18, 84892 ,          303,        6982,        12,                1, 0.7593656325629573 ,              3,            6892,            1,     13.749423058562584
 42, 44379 ,          624,       38864,        36,                0, 0.7664279471820886 ,              2,            5640,            1,     22.07576390210975
 24, 58499 ,          808,       84118,        60,                0, 0.561227693787942  ,              4,            3290,            1,     16.521604003218087
 26, 34406 ,          536,       90490,        36,                0, 0.1039725789968961 ,              4,            3493,            1,     12.412037355989256
 41, 44242 ,          834,       44265,        24,               10, 0.3512985415987301 ,              0,           10039,            1,     20.795299794708022
 18, 52114 ,          315,       51313,        48,                1, 0.45919905927308635,              4,           12672,            1,     22.788407449303307
 61, 19455 ,          833,       49350,        24,               17, 0.44942582955592614,              1,            8592,            1,     23.935648227189027
 25, 21647 ,          745,       20378,        60,                4, 0.5223384406515588 ,              2,           37375,            1,     20.767269168282553
 41, 61997 ,          802,       74815,        24,                1, 0.7723860379633324 ,              0,           28981,            1,     14.486627222375922
 28, 47078 ,          529,       32924,        24,                3, 0.7196348843686077 ,              3,            1036,            1,     19.667146908720692
 68, 38141 ,          406,       87593,        60,                1, 0.17623562341534182,              3,            3029,            1,     23.85290578109572
 34, 35260 ,          688,       12312,        60,               20, 0.2861862739753753 ,              3,           20279,            1,     16.557281269231105
 25, 36030 ,          562,       35353,        36,                9, 0.6831765921937454 ,              3,             301,            1,     24.393559383061234
 52, 52251 ,          364,       91450,        12,                0, 0.6770148361734449 ,              3,            8969,            1,     13.269827932422261
 52, 58900 ,          564,       21192,        48,               14, 0.2927595068851697 ,              0,           30900,            1,     21.464685670772084
 50, 8157  ,          637,       22450,        48,                6, 0.6114116214802837 ,              1,           11354,            1,     13.55884524246187
 22, 78256 ,          600,       10432,        48,                0, 0.5704261651025001 ,              1,             964,            1,     22.385378937767022
 59, 76834 ,          677,       62225,        24,                5, 0.43146677547897305,              3,           13776,            1,     13.269523629995032
 56, 3386  ,          474,       83711,        60,                5, 0.24101846687532055,              1,            4723,            1,     16.23442552084341
 58, 71718 ,          451,       70604,        60,                1, 0.7220502266258604 ,              2,           25450,            1,     22.09920228477946
 45, 71104 ,          775,       15295,        60,                7, 0.5744958290147844 ,              1,            3373,            1,     17.982512520066514
 24, 50008 ,          565,       11774,        12,                0, 0.2182950474148623 ,              4,            6409,            1,     23.474924123187016
 26, 24056 ,          628,       17190,        60,                3, 0.5933616413886026 ,              3,           13728,            1,     17.222592206746533
